"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2022 OK)","2022-Jul-20 21:28 ± < 00:01","535896","535666","5.02","4.87","28.3","5.8 m -   13 m","0"
"(2022 PR)","2022-Jul-21 09:59 ±    00:16","3186625","3166091","10.66","10.65","25.9","17 m -   38 m","0"
"(2022 OY3)","2022-Jul-23 13:25 ± < 00:01","5973937","5948402","10.07","10.06","25.3","23 m -   52 m","0"
"(2022 OG)","2022-Jul-23 15:49 ± < 00:01","2298422","2291701","12.97","12.96","25.6","20 m -   44 m","0"
"(2022 PL)","2022-Jul-23 22:25 ±    00:22","7344198","7283672","13.25","13.24","24.0","42 m -   93 m","0"
"(2022 OF2)","2022-Jul-24 03:26 ±    00:02","5609049","5562159","8.23","8.22","25.5","21 m -   48 m","0"
"(2017 RX2)","2022-Jul-24 10:51 ±    02:27","6578812","5320039","14.21","14.21","26.6","13 m -   29 m","0"
"(2022 NV1)","2022-Jul-24 13:28 ± < 00:01","4960809","4934799","8.14","8.13","24.2","38 m -   86 m","0"
"(2022 ON)","2022-Jul-25 07:13 ±    00:02","1949909","1940101","11.56","11.54","27.2","9.7 m -   22 m","0"
"(2022 OA)","2022-Jul-25 12:34 ± < 00:01","1928179","1925291","10.52","10.50","24.7","31 m -   69 m","1"
"(2022 PD)","2022-Jul-25 19:36 ± < 00:01","4996260","4974423","10.95","10.95","24.4","34 m -   77 m","0"
"(2022 OY)","2022-Jul-26 05:04 ± < 00:01","5826835","5790628","13.03","13.03","25.5","22 m -   48 m","0"
"(2022 OO1)","2022-Jul-26 13:36 ±    00:02","4875736","4847313","8.72","8.71","26.6","12 m -   28 m","0"
"(2022 ML3)","2022-Jul-26 14:11 ± < 00:01","2903256","2902556","1.46","1.37","27.3","9.1 m -   20 m","0"
"(2022 OB2)","2022-Jul-28 07:54 ±    00:03","3851221","3835813","8.44","8.43","27.4","8.8 m -   20 m","0"
"(2022 NU1)","2022-Jul-29 01:11 ± < 00:01","4707107","4695844","8.29","8.28","24.4","34 m -   77 m","0"
"(2022 OG1)","2022-Jul-29 06:29 ± < 00:01","1742332","1739745","5.03","4.98","27.3","9.1 m -   20 m","0"
"(2016 CZ31)","2022-Jul-29 23:02 ± < 00:01","2798018","2797835","15.45","15.44","22.1","100 m -  230 m","1"
"(2022 OE4)","2022-Jul-30 09:07 ±    00:02","2023470","2018794","4.02","3.97","28.8","4.6 m -   10 m","0"
"531944 (2013 CU83)","2022-Jul-30 23:37 ± < 00:01","6958884","6958864","5.88","5.87","21.3","140 m -  320 m","1"
"(2022 OC10)","2022-Jul-31 22:37 ±    00:03","1564515","1549124","7.82","7.78","27.0","11 m -   24 m","0"
"(2022 OU2)","2022-Aug-01 07:59 ± < 00:01","1385219","1384178","8.43","8.39","25.0","26 m -   59 m","1"
"(2022 OW3)","2022-Aug-01 12:01 ± < 00:01","1905397","1898296","8.27","8.24","26.4","14 m -   31 m","0"
"(2020 PP1)","2022-Aug-01 16:58 ± < 00:01","5024610","5024593","3.72","3.69","26.6","12 m -   28 m","0"
"(2022 OJ5)","2022-Aug-01 17:48 ± < 00:01","406785","405602","9.41","9.30","28.9","4.5 m -   10 m","0"
